tm_player_id,fotmob_player_id,fotmob_name,tm_name,status
739443,1302005,Igor Thiago,Igor Thiago,matched
823486,1429912,Michael Kayode,Michael Kayode,matched
469050,961306,Nathan Collins,Nathan Collins,matched
541231,919435,Sepp van den Berg,Sepp van den Berg,matched
473050,1083796,Kevin Schade,Kevin Schade,matched
683620,1171140,Jaidon Anthony,Antoni Milambo,unmatched
717411,1157236,Yehor Yarmoliuk,Yegor Yarmolyuk,unmatched
823231,1250253,Dango Ouattara,Dango Ouattara,matched
319859,650616,Mathias Jensen,Mathias Jensen,matched
540941,888912,Mikkel Damsgaard,Mikkel Damsgaard,matched
644401,1010426,Keane Lewis-Potter,Keane Lewis-Potter,matched
328658,552718,Kristoffer Ajer,Kristoffer Ajer,matched
270171,688273,Vitaly Janelt,Vitaly Janelt,matched
339556,562892,Rico Henry,Rico Henry,matched
469050,184321,Callum Wilson,Nathan Collins,unmatched
591949,1002039,Aaron Hickey,Aaron Hickey,matched
442248,711357,Ethan Pinnock,Ethan Pinnock,matched
559263,963965,Fábio Carvalho,Fábio Carvalho,matched
488935,850962,Hákon Rafn Valdimarsson,Hákon Valdimarsson,matched
683620,1276312,Antoni Milambo,Antoni Milambo,matched
340321,759566,Joshua Dasilva,Josh Dasilva,nickname
1008553,1516030,Gustavo Nunes,Julian Eyestone,unmatched
328658,1341538,Ji-Soo Kim,Kristoffer Ajer,unmatched
823486,1574106,Jayden Meghoma,Michael Kayode,unmatched
469050,1621143,Benjamin Arthur,Nathan Collins,unmatched
403151,883080,Morgan Rogers,Robert Sánchez,unmatched
648195,1137705,Enzo Fernández,Enzo Fernández,matched
403151,789571,Robert Sánchez,Robert Sánchez,matched
346314,793907,Trevoh Chalobah,Trevoh Chalobah,matched
687626,1137668,Moisés Caicedo,Moisés Caicedo,matched
626724,1021382,João Pedro,João Pedro,matched
487465,843040,Pedro Neto,Pedro Neto,matched
620322,1197250,Malo Gusto,Malo Gusto,matched
472423,807729,Reece James,Reece James,matched
568177,1096353,Cole Palmer,Cole Palmer,matched
475411,917802,Wesley Fofana,Wesley Fofana,matched
463603,696646,Axel Disasi,Benoît Badiashile,unmatched
904802,1413846,Jorrel Hato,Jorrel Hato,matched
610849,1113903,Liam Delap,Liam Delap,matched
1056993,1580774,Estêvão,Estêvão,matched
258878,683402,Tosin Adarabioyo,Tosin Adarabioyo,matched
1004708,1400216,Josh Acheampong,Josh Acheampong,matched
463603,955376,Benoît Badiashile,Benoît Badiashile,matched
670882,1113692,Jamie Gittens,Jamie Gittens,matched
628451,1190867,Roméo Lavia,Roméo Lavia,matched
585323,1200984,Filip Jörgensen,Filip Jørgensen,matched
938158,1412137,Marc Guiu,Marc Guiu,matched
614258,1096400,Levi Colwill,Levi Colwill,matched
910905,1426170,Mamadou Sarr,Mamadou Sarr,matched
670717,1239595,Dário Essugo,Dário Essugo,matched
746833,1170744,Caleb Wiley,Caleb Wiley,matched
463603,1419974,Ishé Samuels-Smith,Benoît Badiashile,unmatched
284857,1315477,Omari Kellyman,Marc Cucurella,unmatched
487465,1319972,Mike Penders,Pedro Neto,unmatched
1056993,1183148,Emanuel Emegha,Estêvão,unmatched
475411,1207581,David Datro Fofana,Wesley Fofana,unmatched
258878,1494947,Aaron Anselmino,Tosin Adarabioyo,unmatched
1004708,1197347,Nicolas Jackson,Josh Acheampong,unmatched
568177,1473806,Marco Palestra,Cole Palmer,unmatched
648195,1530314,Geovany Quenda,Enzo Fernández,unmatched
72476,215168,Bernd Leno,Bernd Leno,matched
333014,540963,Sander Berge,Sander Berge,matched
260827,503659,Joachim Andersen,Joachim Andersen,matched
461883,877401,Calvin Bassey,Calvin Bassey,matched
242631,604785,Alex Iwobi,Alex Iwobi,matched
392765,889534,Emile Smith Rowe,Emile Smith Rowe,matched
262226,465750,Timothy Castagne,Timothy Castagne,matched
392775,773991,Ryan Sessegnon,Ryan Sessegnon,matched
206746,469804,Kenny Tete,Kenny Tete,matched
245056,556972,Sasa Lukic,Saša Lukić,matched
349701,662428,Antonee Robinson,Antonee Robinson,matched
1011131,1422593,Joshua King,Josh King,nickname
900195,1318400,Kevin,Kevin,matched
661207,1113790,Oscar Bobb,Oscar Bobb,matched
735571,1128945,Rodrigo Muniz,Rodrigo Muniz,matched
494880,821728,Jorge Cuenca,Jorge Cuenca,matched
123275,182962,Tom Cairney,Tom Cairney,matched
226973,502420,Harrison Reed,Harrison Reed,matched
1069512,1532672,Jonah Kusi-Asare,Jonah Kusi-Asare,matched
226973,1199712,Luke Harris,Harrison Reed,unmatched
503733,1654534,Antoñito Cordero,Anthony Gordon,unmatched
521964,1137407,Malick Thiaw,Malick Thiaw,matched
520624,850354,Bruno Guimarães,Bruno Guimarães,matched
192080,280484,Nick Pope,Nick Pope,matched
670858,1197655,Lewis Hall,Lewis Hall,matched
134270,188058,Daniel Burn,Dan Burn,nickname
398065,760359,Harvey Barnes,Harvey Barnes,matched
333241,535936,Joelinton,Joelinton,matched
455661,1106563,Nick Woltemade,Nick Woltemade,matched
361093,956682,Sven Botman,Sven Botman,matched
199527,521148,Jacob Murphy,Jacob Murphy,matched
922769,1296763,Lewis Miley,Lewis Miley,matched
503749,1021929,Jacob Ramsey,Jacob Ramsey,matched
503981,1107910,Valentino Livramento,Tino Livramento,nickname
583189,1050166,Anthony Elanga,Anthony Elanga,matched
135343,189982,Fabian Schär,Fabian Schär,matched
340329,860975,Joseph Willock,Joe Willock,nickname
609556,1258092,William Osula,William Osula,matched
388165,666857,Yoane Wissa,Yoane Wissa,matched
427568,1695681,Aladji Bamba,Aaron Ramsdale,unmatched
333241,1438570,Ewen Jaouen,Joelinton,unmatched
361093,1624586,Bazoumana Touré,Sven Botman,unmatched
95810,1643770,Sean Steur,Kieran Trippier,unmatched
