player_id,team_id,name,season_type
859754,10094,Gabriel Neves,1
1765407,10079,Dilan Godoy,1
1353756,10077,Leandro Brey,1
1693423,10083,Agustín Ladstatter,1
1398373,568727,Ignacio Sabatini,1
1200746,10094,Brian Aguirre,1
294003,10083,Luciano Vietto,1
1700213,213534,Iván Guaraz,1
861785,10078,Rodrigo Fernández,1
727095,10201,Ignacio Ramírez,1
166509,161728,Lucas Nahuel Castro,1
742643,298629,Nicolás Benegas,1
731802,10080,Duván Vergara,1
1664756,161728,Martín García,1
164676,10077,Ander Herrera,1
639062,213591,Javier Ferreira,1
1790207,10081,Thaiel Peralta,1
1644461,10082,Yoshan Valois,1
940001,10089,Martín Barrios,1
1675394,10087,Lisandro Piñero,1
751138,213534,Gonzalo Maroni,1
875078,213534,Juan Espínola,1
1383667,10082,Franco Watson,1
1271801,10083,Matías Reali,1
824090,10081,Federico Vera,1
1237690,10077,Marco Pellegrino,1
1644153,10089,Mateo Mendía,1
965577,213591,Renzo Bacchia,1
730647,10076,Maximiliano Salas,1
1199960,10094,Cristian Medina,1
609985,161730,David Barbona,1
856411,213591,Raúl Lozano,1
1097396,213596,Marco Iacobellis,1
414440,202757,Nicolás Pasquini,1
113615,298629,Carlos Quintana,1
469593,10083,Ezequiel Cerutti,1
1293096,202757,Gastón Arturia,1
1248634,161728,Natanael Guzmán,1
193881,10201,Michael Hoyos,1
1710298,161727,Luciano Vallejo,1
1220657,10086,Lautaro Giaccone,1
1112939,10201,Bruno Cabrera,1
1616638,568727,Lautaro Carrera,1
1088084,10101,Valentín Depietri,1
1195812,10082,Gonzalo Pérez,1
1848229,10092,Lautaro Gutierrez,1
470847,10078,Ignacio Pussetto,1
1221038,298629,Rodrigo Gallo,1
1684305,10084,Gaspar Duarte,1
1741920,202757,Jhon Rentería,1
265996,10077,Ángel Romero,1
416311,568727,Juan Franco,1
1340223,10103,Mateo Seoane,1
1248060,10081,Alejandro Martínez,1
980062,10084,Federico Navarro,1
1685812,10094,Joaquín Tobio Burgos,1
1352729,202757,Gabriel Díaz,1
1107747,161730,Juan Miritello,1
585907,89396,Gonzalo Martínez,1
170432,10081,Hugo Nervo,1
1847386,213596,Alan Daian Laprida,1
798148,10076,Fabricio Bustos,1
724490,10078,Milton Valenzuela,1
1897457,10092,Agustín Falcón,1
1108622,10094,Facundo Farías,1
917976,89396,Guillermo Soto,1
1053392,10077,Alan Velasco,1
838234,10083,Cristian Nahuel Barrios,1
1244341,10079,Aaron Quirós,1
1206589,10201,Williams Barlasina,1
1270044,89396,Sebastián Medina,1
741669,10087,Bruno Sepúlveda,1
941949,10077,Williams Alarcón,1
754685,161727,Gabriel Compagnucci,1
438183,10103,Germán Conti,1
1017707,10101,Alex Vigo,1
1606009,10101,Valentín Fascendini,1
1252447,202757,Juan Cabrera,1
1200664,10082,Lucas Besozzi,1
1443464,10076,Kendry Páez,1
113696,10084,Jorge Emanuel Broun,1
561038,161728,Néstor Breitenbruch,1
561037,10077,Nicolás Figal,1
1336919,10082,Rodrigo Castillo,1
1844361,161727,Leonel Vega,1
108568,161730,Éver Banega,1
1898458,10081,Facundo Kalinger,1
495383,213534,Yonatthan Rak,1
921603,10076,Giuliano Galoppo,1
1783664,10076,Juan Meza,1
490660,10081,Nehuén Paz,1
957220,10094,Adolfo Gaich,1
1729959,10092,Álvaro Ocampo,1
1437025,10089,Pablo Ferreira,1
279769,202757,Pablo Magnín,1
213878,10094,Ramiro Funes Mori,1
588773,89396,Alfio Oviedo,1
1246289,10201,Martín Luciano,1
1609797,10086,Lucas Gómez,1
306126,161730,Leandro Fernández,1
1609545,10090,Jeremías Lázaro,1
1083898,10089,Agustín Lagos,1
783809,10101,Diego Valoyes,1
