player_name,club,minutes_played,npxg_per90,xa_per90,shots_on_target_per90,progressive_passes_per90,successful_dribbles_per90,pass_completion_percentage,tackles_interceptions_per90,aerial_duels_won_percentage,ball_recoveries_per90,fouls_committed_per90,date_of_birth,country_of_citizenship,transfermarkt_position,preferred_foot,height_in_cm,player_photo_url,market_value_in_eur,stats_vector
Jhon Lucumí,Bologna,2613,0.0213547646383467,0.0244546498277841,0.0688863375430539,5.648679678530424,0.3444316877152698,91.51,2.721010332950631,50.0,6.061997703788748,0.7577497129735935,26/06/1998 00:00,Colombia,Defender,left,187.0,https://img.a.transfermarkt.technology/portrait/header/413565-1753445789.jpg?lm=1,17000000,"[0.02246653222949771, 0.04445946281301451, 0.025569269039418276, 0.16806129566036793, 0.05483009109735292, 0.9228667507356032, 0.39101926266105363, 0.5555555555555556, 0.7409708251879197, 0.15222349789513964]"
Federico Baschirotto,Lecce,3420,0.0323684210526315,0.0134210526315789,0.2105263157894736,1.973684210526316,0.1052631578947368,86.71,1.5789473684210529,64.81,2.4473684210526314,0.8157894736842105,20/09/1996 00:00,Italy,Defender,right,187.0,https://img.a.transfermarkt.technology/portrait/header/351955-1730126092.jpg?lm=1,4000000,"[0.03405357947570423, 0.022932862553125148, 0.07814327485380115, 0.04721509842107552, 0.016756845384489256, 0.8219840269020595, 0.22690058479532166, 0.7201111111111111, 0.23282396391162513, 0.1638830409356725]"
Kike Pérez,Venezia,1120,0.0674999999999999,0.1197321428571428,0.5625,12.294642857142858,1.0446428571428572,78.73,4.098214285714286,48.39,5.705357142857142,2.4910714285714284,14/02/1997 00:00,Spain,Midfield,left,184.0,https://img.a.transfermarkt.technology/portrait/header/527698-1739282423.jpg?lm=1,2200000,"[0.07101417183348084, 0.230346301867897, 0.20878906250000004, 0.38660289227459677, 0.16629672897196263, 0.6542664985287936, 0.5889285714285714, 0.5376666666666667, 0.6908340704986442, 0.5004285714285713]"
Jaka Bijol,Udinese,2964,0.0610323886639676,0.0224696356275303,0.1821862348178138,3.977732793522268,0.0607287449392712,83.83,2.459514170040486,67.07,3.066801619433199,1.487854251012146,05/02/1999 00:00,Slovenia,Defender,right,190.0,https://img.a.transfermarkt.technology/portrait/header/371851-1695029407.jpg?lm=1,18000000,"[0.06420984497764134, 0.040586690729784575, 0.06762398785425103, 0.11311494848793349, 0.009667410798743796, 0.7614543926019335, 0.35344129554655873, 0.7452222222222222, 0.31990427309596275, 0.29889338731444]"
Hans Nicolussi Caviglia,Venezia,2870,0.0762020905923345,0.0724390243902439,0.627177700348432,8.623693379790941,0.5331010452961672,82.55,2.35191637630662,53.85,4.609756097560975,1.56794425087108,18/06/2000 00:00,Italy,Midfield,right,184.0,https://img.a.transfermarkt.technology/portrait/header/430280-1743004805.jpg?lm=1,3000000,"[0.08016930896880778, 0.13807720429465348, 0.23279616724738678, 0.2658897408005686, 0.08486437200820607, 0.7345523329129886, 0.33797909407665505, 0.5983333333333334, 0.5368137854759828, 0.31498257839721244]"
Santiago Castro,Bologna,2305,0.2674620390455531,0.059349240780911,0.8199566160520607,5.310195227765727,0.7028199566160521,78.0,0.8199566160520607,35.19,2.6941431670282,1.913232104121475,18/09/2004 00:00,Argentina,Attack,right,179.0,https://img.a.transfermarkt.technology/portrait/header/849520-1724827267.jpg?lm=1,12000000,"[0.28138659555132, 0.11253897462795209, 0.3043519522776573, 0.15693078977112954, 0.11188193078841205, 0.6389239176124422, 0.11783080260303687, 0.391, 0.26751571313433364, 0.38434707158351405]"
Maxence Caqueret,Como,1097,0.0680948040109389,0.0886052871467639,0.2461257976298997,14.111212397447584,1.1485870556061988,85.58,3.527803099361896,23.08,5.660893345487694,1.3947128532360986,15/02/2000 00:00,France,Midfield,right,174.0,https://img.a.transfermarkt.technology/portrait/header/395237-1739281407.jpg?lm=1,20000000,"[0.07163994241481515, 0.1696176593128621, 0.09135711030082043, 0.4463378015766156, 0.182843609163479, 0.7982345523329129, 0.5069583713157094, 0.2564444444444444, 0.6845833218584938, 0.2801823154056518]"
Samuel Mbangula,Juventus,710,0.0785915492957746,0.1001408450704225,0.6338028169014084,10.140845070422534,1.1408450704225352,89.47,2.2816901408450705,22.22,4.183098591549296,0.7605633802816901,16/01/2004 00:00,Belgium,Attack,right,179.0,https://img.a.transfermarkt.technology/portrait/header/654991-1758702407.jpg?lm=1,0,"[0.08268316720517965, 0.19212358732361126, 0.23525528169014087, 0.31577878530259196, 0.18161116230090826, 0.8799915931063471, 0.32788732394366193, 0.24688888888888888, 0.47683400454649977, 0.1527887323943662]"
Joel Pohjanpalo,Venezia,1615,0.2496594427244582,0.0573993808049535,0.9473684210526316,4.569659442724459,0.1671826625386997,61.05,0.3900928792569659,43.81,1.1145510835913313,0.6687306501547988,13/09/1994 00:00,Finland,Attack,right,186.0,https://img.a.transfermarkt.technology/portrait/header/173491-1658913890.jpg?lm=1,3500000,"[0.26265716393312255, 0.10873478860241632, 0.35164473684210534, 0.1325794853080375, 0.026613813257718243, 0.2826817990752417, 0.05605779153766769, 0.4867777777777778, 0.045455663123411, 0.13434055727554178]"
Luca Pellegrini,Lazio,1074,0.0553072625698324,0.1365921787709497,0.3351955307262569,11.81564245810056,0.9217877094972068,81.18,3.519553072625698,56.25,3.435754189944134,1.5083798882681565,07/03/1999 00:00,Italy,Defender,left,178.0,https://img.a.transfermarkt.technology/portrait/header/346567-1663065246.jpg?lm=1,3500000,"[0.05818665848553374, 0.26324031159382083, 0.12441806331471135, 0.3708517499386845, 0.14673941419098838, 0.7057587221521648, 0.5057728119180632, 0.625, 0.3717718578467388, 0.3030167597765363]"
