tm_player_id,fotmob_player_id,fotmob_name,tm_name,fallback
332889,562719,Valentin Rongier,Valentin Rongier,No
461607,1280225,Estéban Lepaul,Estéban Lepaul,No
215977,317062,Adrien Thomasson,Adrien Thomasson,Yes
324795,770321,Mahdi Camara,Mahdi Camara,No
557613,1233931,Quentin Merlin,Quentin Merlin,No
485960,1073941,Lilian Brassier,Lilian Brassier,No
551505,813055,Mousa Tamari,Mousa Tamari,No
237662,527103,Breel Embolo,Breel Embolo,No
690799,1079554,Anthony Rouault,Anthony Rouault,No
288225,693171,Ludovic Blas,Ludovic Blas,No
1134251,1581722,Abdelhamid Aït Boudlal,Abdelhamid Ait Boudlal,No
798404,1177779,Alidu Seidu,Alidu Seidu,No
931160,1553515,Djaoui Cissé,Djaoui Cissé,No
1176345,1553514,Mahamadou Nagida,Mahamadou Nagida,No
320748,765466,Sebastian Szymanski,Sebastian Szymański,No
275303,485047,Hans Hateboer,Hans Hateboer,Yes
182893,602211,Seko Fofana,Seko Fofana,Yes
324811,770340,Arnaud Nordin,Arnaud Nordin,No
986285,1804654,Nordan Mukiele,Nordan Mukiele,No
242632,604783,Glen Kamara,Glen Kamara,No
1227106,1858591,Elías Legendre,Elías Legendre Quiñónez,No
1153105,1640985,Yassir Zabiri,Yassir Zabiri,No
666974,1518451,Mikayil Faye,Mikayil Faye,Yes
979760,1632788,Rayan Bamba,Rayan Bamba,Yes
373939,625422,Nicolas Lemaître,Nicolas Lemaitre,Yes
977877,1508735,Ayanda Sishuba,Ayanda Sishuba,Yes
364245,890263,Jordan Teze,Jordan Teze,No
745200,1305618,Maghnes Akliouche,Maghnes Akliouche,No
228948,604088,Thilo Kehrer,Thilo Kehrer,No
503770,982677,Folarin Balogun,Folarin Balogun,No
334526,598355,Denis Zakaria,Denis Zakaria,No
1111777,1523208,Sadibou Sané,Sadibou Sane,Yes
918969,1436305,Lamine Camara,Lamine Camara,No
251322,872934,Philipp Köhn,Philipp Köhn,No
263918,586388,Aleksandr Golovin,Aleksandr Golovin,No
48015,66757,Lukás Hrádecky,Lukas Hradecky,No
745173,1524548,Mamadou Coulibaly,Mamadou Coulibaly,No
1005240,1406428,Christian Mawissa,Christian Mawissa,No
466810,1086012,Ansu Fati,Ansu Fati,No
563963,938247,Mohammed Salisu,Mohammed Salisu,No
565821,1113809,Mika Biereth,Mika Biereth,No
490426,837061,Krépin Diatta,Krépin Diatta,No
165793,408943,Takumi Minamino,Takumi Minamino,No
346546,724909,Radoslaw Majecki,Radoslaw Majecki,Yes
975347,1695681,Aladji Bamba,Aladji Bamba,No
175722,361315,Eric Dier,Eric Dier,No
789082,1207992,Vanderson,Vanderson,No
810909,1607371,Lucas Michal,Lucas Michal,Yes
743387,1366936,Stanis Idumbo,Stanis Idumbo,No
918414,1412956,Paris Brunner,Paris Brunner,No
122153,248453,Paul Pogba,Paul Pogba,No
1171981,1709473,Mathys Detourbet,Mathys Detourbet,Yes
1064871,1408580,Joaquín Panichelli,Joaquín Panichelli,No
849410,1272440,Valentín Barco,Valentín Barco,No
786436,1178332,Ismaël Doukouré,Ismaël Doukouré,No
711980,1395704,Guéla Doué,Guéla Doué,No
1130514,1598170,Samir El Mourabet,Samir El Mourabet,No
655006,1342754,Diego Moreira,Diego Moreira,No
660867,1073742,Julio Enciso,Julio Enciso,No
926978,1436942,Lucas Høgsberg,Lucas Høgsberg,No
991487,1343053,Abdoul Ouattara,Abdoul Ouattara,No
1011200,1362622,Junior Mwanga,Junior Mwanga,No
316125,672469,Ben Chilwell,Ben Chilwell,No
992686,1302715,Martial Godo,Martial Godo,No
621993,1050822,Andrew Omobamidele,Andrew Omobamidele,No
949113,1417802,Pape Demba Diop,Pape Demba Diop,Yes
557612,1177312,Sékou Mara,Sekou Mara,Yes
933900,1418073,Samuel Amo-Ameyaw,Samuel Amo-Ameyaw,No
579928,1156569,Sebastian Nanasi,Sebastian Nanasi,No
1151929,1603755,Gessime Yassine,Gessime Yassine,No
863204,1355526,Maxi Oyedele,Maxi Oyedele,No
1010854,1581053,Mathis Amougou,Mathis Amougou,No
1133733,1975804,Yaya Dieme,Yaya Dieme,Yes
112822,150021,Karl-Johan Johnsson,Karl-Johan Johnsson,No
962555,1359613,Abakar Sylla,Abakar Sylla,Yes
1170718,1900030,Tyrese Noubissie,Tyrese Noubissie,Fixed
1068110,1609064,Rabby Nzingoula,Rabby Nzingoula,Yes
1353609,1873054,Jean-Baptiste Bosey,Jean-Baptiste Bosey,Yes
1183575,1536974,Pape Diong,Pape Diong,Yes
807128,1180730,Saïdou Sow,Saidou Sow,Yes
1075590,1635507,Rayane Messi,Rayane Messi,Yes
912902,1524210,Guillaume Restes,Guillaume Restes,No
463613,955411,Yann Gboho,Yann Gboho,No
283227,656491,Rasmus Nicolaisen,Rasmus Nicolaisen,No
597659,1186444,Charlie Cresswell,Charlie Cresswell,No
467632,845943,Cristian Cásseres,Cristian Cásseres Jr.,No
