tm_team_id,fotmob_team_id,tm_name,fotmob_name,
4,8165,1.FC Nuremberg,1. FC NÃ¼rnberg,
56,8296,Rot-Weiss Essen,RW Essen,
72,9753,TSV 1860 Munich,1860 MÃ¼nchen,
1622,276267,FC Viktoria Köln,Viktoria KÃ¶ln 1904,
983,94940,TSG 1899 Hoffenheim II,Hoffenheim II,
103,7780,1.FC Schweinfurt 05,FC Schweinfurt,
438,8459,1.FC Köln II,FC KÃ¶ln II,
392,557692,1.FC Bocholt,FC Bocholt,
299,8142,Wuppertaler SV,Wuppertal,
298,94931,Altona 93,Altonaer FC 93,
497,145597,1. FC Lokomotive Leipzig,Lokomotive Leipzig,
111,8148,Rot-Weiß Erfurt,RW Erfurt,
5761,177076,FSV 63 Luckenwalde,FSV Luckenwalde,
45,8186,Hertha BSC II,Hertha Berlin II,
2943,6081,FC Hertha 03 Zehlendorf,Hertha Zehlendorf,
1348,94938,FC-Astoria Walldorf,FCA Walldorf,
104,7774,SV Eintracht Trier 05,Eintracht Trier,
473,94943,1.FC Nuremberg II,NÃ¼rnberg II,
28,8264,FC Bayern Munich II,Bayern MÃ¼nchen II,
1615,859240,Schwaben Augsburg,TSV Schwaben Augsburg,
720,9773,FC Porto,FC Porto,
336,9768,Sporting CP,Sporting CP,
294,9772,SL Benfica,Benfica,
1075,10264,SC Braga,Braga,
3329,1634,FC FamalicÃ£o,Famalicao,
2424,9764,Gil Vicente FC,Gil Vicente,
979,8348,Moreirense FC,Moreirense,
8024,158085,FC Arouca,Arouca,
2420,7844,Vitória Guimarães SC,Vitoria de Guimaraes,
1465,7842,GD Estoril Praia,Estoril,
2521,9780,FC Alverca,Alverca,
2425,7841,Rio Ave FC,Rio Ave,
2423,1567,CD Santa Clara,Santa Clara,
982,10214,CD Nacional,Nacional,
2431,1074320,CF Estrela Amadora,Estrela da Amadora,
3268,212821,Casa Pia AC,Casa Pia AC,
7179,188163,CD Tondela,Tondela,
110302,1889,Avs Futebol,AVS Futebol SAD,
1301,10212,CS MarÃ­timo,Maritimo,
7788,1786,AcadÃ©mico Viseu FC,Academico Viseu,
2432,212820,SC UniÃ£o Torreense,Torreense,
6912,4531,FC Vizela,Vizela,
10331,338304,FC Porto B,FC Porto B,
2639,9771,UD Leiria,Uniao de Leiria,
3345,6421,LeixÃµes SC,Leixoes,
3349,4064,CD Feirense,Feirense,
3325,9774,GD Chaves,Chaves,
10330,338302,SL Benfica B,Benfica B,
1701,474326,FC Felgueiras 1932,Felgueiras 1932,
8189,188154,LusitÃ¢nia FC Lourosa,Lusitania Lourosa,
10949,338301,Sporting CP B,Sporting CP B,
3327,6547,FC Penafiel,Penafiel,
7378,9765,Portimonense SAD,Portimonense,
4294,6004,SC Farense,Farense,
2995,6403,FC PaÃ§os de Ferreira,Pacos de Ferreira,
8827,1785,UD Oliveirense,Oliveirense,
7789,280216,Amarante FC,Amarante FC,
2990,10215,AcadÃ©mica Coimbra,Academica,
68608,1296841,CF Os Belenenses,CF Os Belenenses,
7056,47535,CD Mafra,Mafra,
15136,338305,VitÃ³ria GuimarÃ£es SC B,Vitoria de Guimaraes B,
4297,1722,Varzim SC,Varzim,
74155,1074312,UD SantarÃ©m,Santarem,
3348,7992,CD Trofense,Trofense,
15268,238631,SC São João de Ver,SC Joao Ver,
3326,212796,AD Fafe,AD Fafe,
5222,2503,USC Paredes,Paredes,
2829,1530180,AD Marco 09,AD Marco 09,
10789,338303,SC Braga B,Braga B,
6023,1796,AD Sanjoanense,Sanjoanense,
5227,4665,AtlÃ©tico CP,Atletico,
3275,888452,AssociaÃ§Ã£o Lusitano de Ã‰vora 1911,Lusitano de Evora,
4275,1800,Caldas SC,Caldas,
10140,1940,SC CovilhÃ£,Sporting Covilha,
13573,238626,SU 1º Dezembro,S.U. 1 de Dezembro,
1414,588631,Amora FC,Amora FC,
383,8640,PSV Eindhoven,PSV Eindhoven,
234,10235,Feyenoord Rotterdam,Feyenoord,
467,8464,NEC Nijmegen,NEC Nijmegen,
317,8611,FC Twente Enschede,FC Twente,
610,8593,Ajax Amsterdam,Ajax,
200,9908,FC Utrecht,FC Utrecht,
1090,10229,AZ Alkmaar,AZ Alkmaar,
306,10228,SC Heerenveen,SC Heerenveen,
202,8674,FC Groningen,FC Groningen,
468,8614,Sparta Rotterdam,Sparta Rotterdam,
385,6422,Fortuna Sittard,Fortuna Sittard,
1435,6433,Go Ahead Eagles,Go Ahead Eagles,
798,10218,Excelsior Rotterdam,Excelsior,
1434,6414,SC Telstar,Telstar,
1269,6413,PEC Zwolle,PEC Zwolle,
724,6601,FC Volendam,FC Volendam,
132,9761,NAC Breda,NAC Breda,
1304,9791,Heracles Almelo,Heracles,
